domain,BCS_x,ID,literals_x,def_x,usage_x,hypernymID_x,hypernym_literals_x,hypernym_def_x,hypernym_usage_x,Prevod literala,Prevod def,Unnamed: 0,BCS_y,literals_y,def_y,usage_y,hypernymID_y,hypernym_literals_y,hypernym_def_y,hypernym_usage_y
medicine,,ENG30-14160365-n,muscular dystrophy; dystrophy,any of several hereditary diseases of the muscular system characterized by weakness and wasting of skeletal muscles,-,ENG30-14151139-n,genetic disease; genetic disorder; genetic abnormality; genetic defect; congenital disease; inherited disease; inherited disorder; hereditary disease; hereditary condition,a disease or disorder that is inherited genetically,-,,,,,,,,,,,
medicine,,ENG30-14161795-n,-,the most common form of muscular dystrophy; inheritance is X-linked recessive (carried by females but affecting only males),-,ENG30-14160365-n,muscular dystrophy; dystrophy,any of several hereditary diseases of the muscular system characterized by weakness and wasting of skeletal muscles,-,,,,,,,,,,,
medicine,,ENG30-14162025-n,autosomal dominant disease; autosomal dominant disorder,a disease caused by a dominant mutant gene on an autosome,-,ENG30-14151139-n,genetic disease; genetic disorder; genetic abnormality; genetic defect; congenital disease; inherited disease; inherited disorder; hereditary disease; hereditary condition,a disease or disorder that is inherited genetically,-,,,,,,,,,,,
medicine,,ENG30-14162275-n,autosomal recessive disease; autosomal recessive defect,a disease caused by the presence of two recessive mutant genes on an autosome,-,ENG30-14151139-n,genetic disease; genetic disorder; genetic abnormality; genetic defect; congenital disease; inherited disease; inherited disorder; hereditary disease; hereditary condition,a disease or disorder that is inherited genetically,-,,,,,,,,,,,
medicine,,ENG30-14162563-n,limb-girdle muscular dystrophy,an autosomal recessive form of muscular dystrophy that appears anywhere from late childhood to middle age; characterized by progressive muscular weakness beginning either in the shoulder or pelvic girdle; usually progresses slowly with cardiopulmonary complications in the later stages,-,ENG30-14160365-n,muscular dystrophy; dystrophy,any of several hereditary diseases of the muscular system characterized by weakness and wasting of skeletal muscles,-,,,,,,,,,,,
medicine,,ENG30-14162563-n,limb-girdle muscular dystrophy,an autosomal recessive form of muscular dystrophy that appears anywhere from late childhood to middle age; characterized by progressive muscular weakness beginning either in the shoulder or pelvic girdle; usually progresses slowly with cardiopulmonary complications in the later stages,-,ENG30-14162275-n,autosomal recessive disease; autosomal recessive defect,a disease caused by the presence of two recessive mutant genes on an autosome,-,,,,,,,,,,,
medicine,,ENG30-14163182-n,-,a severe form of muscular dystrophy marked by generalized weakness and muscular wasting that affects the face and feet and hands and neck; difficult speech and difficulty with the hands that spreads to the arms and shoulders and legs and hips; the onset can be any time from birth to middle age and the progression is slow; inheritance is autosomal dominant,-,ENG30-14160365-n,muscular dystrophy; dystrophy,any of several hereditary diseases of the muscular system characterized by weakness and wasting of skeletal muscles,-,,,,,,,,,,,
medicine,,ENG30-14164007-n,Niemann-Pick disease,a disorder of lipid metabolism that is inherited as an autosomal recessive trait,-,ENG30-14155834-n,inborn error of metabolism,any of a number of diseases in which an inherited defect (usually a missing or inadequate enzyme) results in an abnormality of metabolism,-,,,,,,,,,,,
medicine,,ENG30-14164007-n,Niemann-Pick disease,a disorder of lipid metabolism that is inherited as an autosomal recessive trait,-,ENG30-14162275-n,autosomal recessive disease; autosomal recessive defect,a disease caused by the presence of two recessive mutant genes on an autosome,-,,,,,,,,,,,
medicine,,ENG30-14164007-n,Niemann-Pick disease,a disorder of lipid metabolism that is inherited as an autosomal recessive trait,-,ENG30-14193711-n,lipidosis,a disorder of lipid metabolism; abnormal levels of certain fats accumulate in the body,-,,,,,,,,,,,
medicine,,ENG30-14164190-n,oxycephaly; acrocephaly,a congenital abnormality of the skull; the top of the skull assumes a cone shape,-,ENG30-14465048-n,birth defect; congenital anomaly; congenital defect; congenital disorder; congenital abnormality,a defect that is present at birth,-,,,,,,,,,,,
medicine,,ENG30-14164341-n,aplastic anemia; aplastic anaemia,anemia characterized by pancytopenia resulting from failure of the bone marrow; can be caused by neoplasm or by toxic exposure,-,ENG30-14195315-n,anemia; anaemia,a deficiency of red blood cells,-,,,,,,,,,,,
medicine,,ENG30-14164548-n,erythroblastosis fetalis,severe anemia in newborn babies; the result of Rh incompatibility between maternal and fetal blood; typically occurs when the child of an Rh-negative mother inherits Rh-positive blood from the father; can be diagnosed before birth by amniocentesis,-,ENG30-14195315-n,anemia; anaemia,a deficiency of red blood cells,-,,,,,,,,,,,
medicine,,ENG30-14164866-n,-,a rare congenital anemia characterized by pancytopenia and hypoplasia of the bone marrow,-,ENG30-14151139-n,genetic disease; genetic disorder; genetic abnormality; genetic defect; congenital disease; inherited disease; inherited disorder; hereditary disease; hereditary condition,a disease or disorder that is inherited genetically,-,,,,,,,,,,,
medicine,,ENG30-14164866-n,-,a rare congenital anemia characterized by pancytopenia and hypoplasia of the bone marrow,-,ENG30-14195315-n,anemia; anaemia,a deficiency of red blood cells,-,,,,,,,,,,,
medicine,,ENG30-14165240-n,hemolytic anemia; haemolytic anaemia,anemia resulting from destruction of erythrocytes,-,ENG30-14195315-n,anemia; anaemia,a deficiency of red blood cells,-,,,,,,,,,,,
medicine,,ENG30-14165373-n,hyperchromic anemia; hyperchromic anaemia,anemia characterized by an increase in the concentration of corpuscular hemoglobin,-,ENG30-14195315-n,anemia; anaemia,a deficiency of red blood cells,-,,,,,,,,,,,
medicine,,ENG30-14165544-n,hypochromic anemia; hypochromic anaemia,anemia characterized by a decrease in the concentration of corpuscular hemoglobin,-,ENG30-14195315-n,anemia; anaemia,a deficiency of red blood cells,-,,,,,,,,,,,
medicine,,ENG30-14165730-n,hypoplastic anemia; hypoplastic anaemia,anemia resulting from inadequately functioning bone marrow; can develop into aplastic anemia,-,ENG30-14195315-n,anemia; anaemia,a deficiency of red blood cells,-,,,,,,,,,,,
medicine,,ENG30-14165909-n,iron deficiency anemia; iron deficiency anaemia,a form of anemia due to lack of iron in the diet or to iron loss as a result of chronic bleeding,-,ENG30-14195315-n,anemia; anaemia,a deficiency of red blood cells,-,,,,,,,,,,,
medicine,,ENG30-14166775-n,chlorosis; greensickness,iron deficiency anemia in young women; characterized by weakness and menstrual disturbances and a green color to the skin,-,ENG30-14165909-n,iron deficiency anemia; iron deficiency anaemia,a form of anemia due to lack of iron in the diet or to iron loss as a result of chronic bleeding,-,,,,,,,,,,,
medicine,,ENG30-14166968-n,macrocytic anemia; macrocytic anaemia,anemia in which the average size of erythrocytes is larger than normal,-,ENG30-14195315-n,anemia; anaemia,a deficiency of red blood cells,-,,,,,,,,,,,
medicine,,ENG30-14167123-n,microcytic anemia; microcytic anaemia,anemia in which the average size of erythrocytes is smaller than normal,-,ENG30-14195315-n,anemia; anaemia,a deficiency of red blood cells,-,,,,,,,,,,,
medicine,,ENG30-14167426-n,pernicious anemia; pernicious anaemia; malignant anemia; malignant anaemia,a chronic progressive anemia of older adults; thought to result from a lack of intrinsic factor (a substance secreted by the stomach that is responsible for the absorption of vitamin B12),-,ENG30-14195315-n,anemia; anaemia,a deficiency of red blood cells,-,,,,,,,,,,,
medicine,,ENG30-14167773-n,megaloblastic anemia; megaloblastic anaemia,anemia characterized by many large immature and dysfunctional red blood cells (megaloblasts) in the bone marrow; associated with pernicious anemia,-,ENG30-14167426-n,pernicious anemia; pernicious anaemia; malignant anemia; malignant anaemia,a chronic progressive anemia of older adults; thought to result from a lack of intrinsic factor (a substance secreted by the stomach that is responsible for the absorption of vitamin B12),-,,,,,,,,,,,
medicine,,ENG30-14168010-n,metaplastic anemia; metaplastic anaemia,pernicious anemia in which the various formed elements in the blood are changed,-,ENG30-14167426-n,pernicious anemia; pernicious anaemia; malignant anemia; malignant anaemia,a chronic progressive anemia of older adults; thought to result from a lack of intrinsic factor (a substance secreted by the stomach that is responsible for the absorption of vitamin B12),-,,,,,,,,,,,
medicine,,ENG30-14168176-n,refractory anemia; refractory anaemia,any of various anemic conditions that are not successfully treated by any means other than blood transfusions (and that are not associated with another primary disease),-,ENG30-14195315-n,anemia; anaemia,a deficiency of red blood cells,-,,,,,,,,,,,
medicine,,ENG30-14168447-n,sideroblastic anemia; sideroblastic anaemia; siderochrestic anemia; siderochrestic anaemia,refractory anemia characterized by sideroblasts in the bone marrow,-,ENG30-14168176-n,refractory anemia; refractory anaemia,any of various anemic conditions that are not successfully treated by any means other than blood transfusions (and that are not associated with another primary disease),-,,,,,,,,,,,
medicine,,ENG30-14168653-n,sideropenia,a deficiency of iron; results from inadequate iron in the diet or from hemorrhage,-,ENG30-14450172-n,mineral deficiency,lack of a mineral micronutrient that is essential for normal nutrition or metabolism,-,,,,,,,,,,,
medicine,,ENG30-14168792-n,sickle-cell anemia; sickle-cell anaemia; sickle-cell disease; crescent-cell anemia; crescent-cell anaemia; drepanocytic anemia; drepanocytic anaemia,a congenital form of anemia occurring mostly in blacks; characterized by abnormal blood cells having a crescent shape,-,ENG30-14074877-n,monogenic disorder; monogenic disease,an inherited disease controlled by a single pair of genes,-,,,,,,,,,,,
medicine,,ENG30-14168792-n,sickle-cell anemia; sickle-cell anaemia; sickle-cell disease; crescent-cell anemia; crescent-cell anaemia; drepanocytic anemia; drepanocytic anaemia,a congenital form of anemia occurring mostly in blacks; characterized by abnormal blood cells having a crescent shape,-,ENG30-14195315-n,anemia; anaemia,a deficiency of red blood cells,-,,,,,,,,,,,
medicine,,ENG30-14169128-n,Spielmeyer-Vogt disease; juvenile amaurotic idiocy,a congenital progressive disorder of lipid metabolism having an onset at age 5 and characterized by blindness and dementia and early death,-,ENG30-14151139-n,genetic disease; genetic disorder; genetic abnormality; genetic defect; congenital disease; inherited disease; inherited disorder; hereditary disease; hereditary condition,a disease or disorder that is inherited genetically,-,,,,,,,,,,,
medicine,,ENG30-14169364-n,Tay-Sachs disease; Tay-Sachs; Sachs disease; infantile amaurotic idiocy,a hereditary disorder of lipid metabolism occuring most frequently in individuals of Jewish descent in eastern Europe; accumulation of lipids in nervous tissue results in death in early childhood,-,ENG30-14074877-n,monogenic disorder; monogenic disease,an inherited disease controlled by a single pair of genes,-,,,,,,,,,,,
medicine,,ENG30-14169364-n,Tay-Sachs disease; Tay-Sachs; Sachs disease; infantile amaurotic idiocy,a hereditary disorder of lipid metabolism occuring most frequently in individuals of Jewish descent in eastern Europe; accumulation of lipids in nervous tissue results in death in early childhood,-,ENG30-14162275-n,autosomal recessive disease; autosomal recessive defect,a disease caused by the presence of two recessive mutant genes on an autosome,-,,,,,,,,,,,
medicine,,ENG30-14169364-n,Tay-Sachs disease; Tay-Sachs; Sachs disease; infantile amaurotic idiocy,a hereditary disorder of lipid metabolism occuring most frequently in individuals of Jewish descent in eastern Europe; accumulation of lipids in nervous tissue results in death in early childhood,-,ENG30-14193711-n,lipidosis,a disorder of lipid metabolism; abnormal levels of certain fats accumulate in the body,-,,,,,,,,,,,
medicine,,ENG30-14169717-n,thrombasthenia,a rare autosomal recessive disease in which the platelets do not produce clots in the normal way and hemorrhage results,-,ENG30-14162275-n,autosomal recessive disease; autosomal recessive defect,a disease caused by the presence of two recessive mutant genes on an autosome,-,,,,,,,,,,,
medicine,,ENG30-14170623-n,afibrinogenemia,the absence of fibrinogen in the plasma leading to prolonged bleeding,-,ENG30-14189204-n,blood disease; blood disorder,a disease or disorder of the blood,-,,,,,,,,,,,
medicine,,ENG30-14171492-n,congenital afibrinogenemia,a rare congenital disorder of blood coagulation in which no fibrinogen is found in the blood plasma,-,ENG30-14151139-n,genetic disease; genetic disorder; genetic abnormality; genetic defect; congenital disease; inherited disease; inherited disorder; hereditary disease; hereditary condition,a disease or disorder that is inherited genetically,-,,,,,,,,,,,
medicine,,ENG30-14171492-n,congenital afibrinogenemia,a rare congenital disorder of blood coagulation in which no fibrinogen is found in the blood plasma,-,ENG30-14170623-n,afibrinogenemia,the absence of fibrinogen in the plasma leading to prolonged bleeding,-,,,,,,,,,,,
medicine,,ENG30-14182871-n,aspergillosis,an opportunistic infection by a fungus of the genus Aspergillus; characterized by inflammation and lesions of the ear and other organs,-,ENG30-14178482-n,opportunistic infection,any infection caused by a microorganism that does not normally cause disease in humans; occurs in persons with abnormally functioning immune systems (as AIDS patients or transplant patients receiving immunosuppressive drugs),-,,,,,,,,,,,
medicine,,ENG30-14183210-n,boil; furuncle,a painful sore with a hard pus-filled core,-,ENG30-14184801-n,staphylococcal infection,an infection with Staphylococcus bacteria; usually marked by abscess formation,-,,,,,,,,,,,
medicine,,ENG30-14183337-n,gumboil,a boil or abscess on the gums,-,ENG30-14183210-n,boil; furuncle,a painful sore with a hard pus-filled core,-,,,,,,,,,,,
medicine,,ENG30-14183420-n,blain,an inflammatory swelling or sore,-,ENG30-14183065-n,sore,an open skin infection,-,,,,,,,,,,,
medicine,,ENG30-14183522-n,chilblain; chilblains; pernio,inflammation of the hands and feet caused by exposure to cold and moisture,-,ENG30-14183420-n,blain,an inflammatory swelling or sore,-,,,,,,,,,,,
medicine,,ENG30-14183692-n,kibe,ulcerated chilblain on the heel,-,ENG30-14183522-n,chilblain; chilblains; pernio,inflammation of the hands and feet caused by exposure to cold and moisture,-,,,,,,,,,,,
medicine,,ENG30-14183774-n,carbuncle,an infection larger than a boil and with several openings for discharge of pus,-,ENG30-14184801-n,staphylococcal infection,an infection with Staphylococcus bacteria; usually marked by abscess formation,-,,,,,,,,,,,
medicine,,ENG30-14183926-n,cartilaginification,abnormal formation of cartilage from other tissues; observed in some Orientals,-,ENG30-14204950-n,pathology,any deviation from a healthy or normal condition,-,,,,,,,,,,,
medicine,,ENG30-14184254-n,fester; suppurating sore,a sore that has become inflamed and formed pus,-,ENG30-14183065-n,sore,an open skin infection,-,,,,,,,,,,,
medicine,,ENG30-14184390-n,gall,a skin sore caused by chafing,-,ENG30-14183065-n,sore,an open skin infection,-,,,,,,,,,,,
medicine,,ENG30-14184506-n,saddle sore,sore on a horseback rider chafed by a saddle,-,ENG30-14184390-n,gall,a skin sore caused by chafing,-,,,,,,,,,,,
medicine,,ENG30-14184608-n,shigellosis; bacillary dysentery,an acute infection of the intestine by Shigella bacteria; characterized by diarrhea and fever and abdominal pains,-,ENG30-14129999-n,dysentery,an infection of the intestines marked by severe diarrhea,-,,,,,,,,,,,
medicine,,ENG30-14184801-n,staphylococcal infection,an infection with Staphylococcus bacteria; usually marked by abscess formation,-,ENG30-14174549-n,infection,the pathological state resulting from the invasion of the body by pathogenic microorganisms,-,,,,,,,,,,,
medicine,,ENG30-14184986-n,streptococcal sore throat; strep throat; streptococcus tonsilitis; septic sore throat; throat infection,an infection of the oral pharynx and tonsils by streptococcus,-,ENG30-14173484-n,sore throat; pharyngitis; raw throat,inflammation of the fauces and pharynx,-,,,,,,,,,,,
medicine,,ENG30-14184986-n,streptococcal sore throat; strep throat; streptococcus tonsilitis; septic sore throat; throat infection,an infection of the oral pharynx and tonsils by streptococcus,-,ENG30-14174549-n,infection,the pathological state resulting from the invasion of the body by pathogenic microorganisms,-,,,,,,,,,,,
medicine,,ENG30-14185219-n,sty; stye; hordeolum; eye infection,an infection of the sebaceous gland of the eyelid,-,ENG30-14174549-n,infection,the pathological state resulting from the invasion of the body by pathogenic microorganisms,-,,,,,,,,,,,
medicine,,ENG30-14185353-n,superinfection,infection that occurs while you are being treated for another infection,-,ENG30-14174549-n,infection,the pathological state resulting from the invasion of the body by pathogenic microorganisms,-,,,,,,,,,,,
medicine,,ENG30-14185503-n,suprainfection,secondary infection caused by an opportunistic infection,-,ENG30-14174549-n,infection,the pathological state resulting from the invasion of the body by pathogenic microorganisms,-,,,,,,,,,,,
medicine,,ENG30-14185803-n,tetanus; lockjaw,an acute and serious infection of the central nervous system caused by bacterial infection of open wounds; spasms of the jaw and laryngeal muscles may occur during the late stages,-,ENG30-14174549-n,infection,the pathological state resulting from the invasion of the body by pathogenic microorganisms,-,,,,,,,,,,,
medicine,,ENG30-14186256-n,trichomoniasis,infection of the vagina,-,ENG30-14178913-n,protozoal infection,any infection caused by a protozoan,-,,,,,,,,,,,
medicine,,ENG30-14186541-n,arthritis,inflammation of a joint or joints,-,ENG30-14171682-n,inflammatory disease,a disease characterized by inflammation,-,,,,,,,,,,,
medicine,,ENG30-14186738-n,rheumatoid arthritis; atrophic arthritis; rheumatism,"a chronic autoimmune disease with inflammation of the joints and marked deformities; something (possibly a virus) triggers an attack on the synovium by the immune system, which releases cytokines that stimulate an inflammatory reaction that can lead to the destruction of all components of the joint",-,ENG30-14186541-n,arthritis,inflammation of a joint or joints,-,,,,,,,,,,,
medicine,,ENG30-14186738-n,rheumatoid arthritis; atrophic arthritis; rheumatism,"a chronic autoimmune disease with inflammation of the joints and marked deformities; something (possibly a virus) triggers an attack on the synovium by the immune system, which releases cytokines that stimulate an inflammatory reaction that can lead to the destruction of all components of the joint",-,ENG30-14187378-n,autoimmune disease; autoimmune disorder,any of a large group of diseases characterized by abnormal functioning of the immune system that causes your immune system to produce antibodies against your own tissues,-,,,,,,,,,,,
medicine,,ENG30-14187869-n,psoriatic arthritis,a form of rheumatoid arthritis usually affecting fingers and toes and associated with psoriasis,-,ENG30-14186738-n,rheumatoid arthritis; atrophic arthritis; rheumatism,"a chronic autoimmune disease with inflammation of the joints and marked deformities; something (possibly a virus) triggers an attack on the synovium by the immune system, which releases cytokines that stimulate an inflammatory reaction that can lead to the destruction of all components of the joint",-,,,,,,,,,,,
medicine,,ENG30-14188030-n,-,a form of rheumatoid arthritis that affects children; large joints become inflamed and bone growth may be retarded,-,ENG30-14186738-n,rheumatoid arthritis; atrophic arthritis; rheumatism,"a chronic autoimmune disease with inflammation of the joints and marked deformities; something (possibly a virus) triggers an attack on the synovium by the immune system, which releases cytokines that stimulate an inflammatory reaction that can lead to the destruction of all components of the joint",-,,,,,,,,,,,
medicine,,ENG30-14188238-n,osteoarthritis; degenerative arthritis; degenerative joint disease,chronic breakdown of cartilage in the joints; the most common form of arthritis occurring usually after middle age,-,ENG30-14186541-n,arthritis,inflammation of a joint or joints,-,,,,,,,,,,,
medicine,,ENG30-14188568-n,-,swelling of the bursa in the knee (due to trauma or excessive kneeling),-,ENG30-14261384-n,bursitis,inflammation of a bursa; frequently in the shoulder,-,,,,,,,,,,,
medicine,,ENG30-14188702-n,cystitis,inflammation of the urinary bladder and ureters,-,ENG30-14566129-n,urinary tract infection,any infection of any of the organs of the urinary tract,-,,,,,,,,,,,
medicine,,ENG30-14188804-n,gout; gouty arthritis; urarthritis,a painful inflammation of the big toe and foot caused by defects in uric acid metabolism resulting in deposits of the acid and its salts in the blood and joints,-,ENG30-14186541-n,arthritis,inflammation of a joint or joints,-,,,,,,,,,,,
medicine,,ENG30-14189065-n,spondylarthritis,arthritis that affects one or more of the intervertebral joints in the spine,-,ENG30-14186541-n,arthritis,inflammation of a joint or joints,-,,,,,,,,,,,
medicine,,ENG30-14189837-n,blood poisoning; septicemia; septicaemia,invasion of the bloodstream by virulent microorganisms from a focus of infection,-,ENG30-14180848-n,sepsis,the presence of pus-forming bacteria or their toxins in the blood or tissues,-,,,,,,,,,,,
medicine,,ENG30-14189837-n,blood poisoning; septicemia; septicaemia,invasion of the bloodstream by virulent microorganisms from a focus of infection,-,ENG30-14189204-n,blood disease; blood disorder,a disease or disorder of the blood,-,,,,,,,,,,,
medicine,,ENG30-14190132-n,sapremia; sapraemia,blood poisoning caused by putrefactive bacteria; results from eating putrified matter,-,ENG30-14180848-n,sepsis,the presence of pus-forming bacteria or their toxins in the blood or tissues,-,,,,,,,,,,,
medicine,,ENG30-14190907-n,toxemia; toxaemia,blood poisoning caused by bacterial toxic substances in the blood,-,ENG30-14189837-n,blood poisoning; septicemia; septicaemia,invasion of the bloodstream by virulent microorganisms from a focus of infection,-,,,,,,,,,,,
medicine,,ENG30-14191037-n,toxemia of pregnancy; toxaemia of pregnancy; toxemia; toxaemia,an abnormal condition of pregnancy characterized by hypertension and edema and protein in the urine,-,ENG30-14061805-n,illness; unwellness; malady; sickness,impairment of normal physiological function affecting part or all of an organism,-,,,,,,,,,,,
medicine,,ENG30-14191284-n,eclampsia,a toxic condition characterized by convulsions and possibly coma during or immediately after pregnancy,-,ENG30-14191037-n,toxemia of pregnancy; toxaemia of pregnancy; toxemia; toxaemia,an abnormal condition of pregnancy characterized by hypertension and edema and protein in the urine,-,,,,,,,,,,,
medicine,,ENG30-14191442-n,preeclampsia; pre-eclampsia,abnormal state of pregnancy characterized by hypertension and fluid retention and albuminuria; can lead to eclampsia if untreated,-,ENG30-14191037-n,toxemia of pregnancy; toxaemia of pregnancy; toxemia; toxaemia,an abnormal condition of pregnancy characterized by hypertension and edema and protein in the urine,-,,,,,,,,,,,
medicine,,ENG30-14192034-n,hemoglobinopathy; haemoglobinopathy,a blood disease characterized by the presence of abnormal hemoglobins in the blood,-,ENG30-14189204-n,blood disease; blood disorder,a disease or disorder of the blood,-,,,,,,,,,,,
medicine,,ENG30-14192376-n,Hand-Schuller-Christian disease; Schuller-Christian disease,inflammatory histiocytosis associated with disturbance of cholesterol metabolism; occurs chiefly in young children and is characterized by cystic defects of the skull and diabetes insipidus,-,ENG30-14192790-n,histiocytosis,a blood disease characterized by an abnormal multiplication of macrophages,-,,,,,,,,,,,
medicine,,ENG30-14192672-n,Haverhill fever,the form of ratbite fever occurring in the United States,-,ENG30-14140533-n,ratbite fever,either of two infectious diseases transmitted to humans by the bite of a rat or mouse; characterized by fever and headache and nausea and skin eruptions,-,,,,,,,,,,,
medicine,,ENG30-14192790-n,histiocytosis,a blood disease characterized by an abnormal multiplication of macrophages,-,ENG30-14189204-n,blood disease; blood disorder,a disease or disorder of the blood,-,,,,,,,,,,,
medicine,,ENG30-14193925-n,lipemia; lipaemia; lipidemia; lipidaemia; lipoidemia; lipoidaemia; hyperlipemia; hyperlipaemia; hyperlipidemia; hyperlipidaemia; hyperlipoidemia; hyperlipoidaemia,presence of excess lipids in the blood,-,ENG30-14299637-n,symptom,(medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease,-,,,,,,,,,,,
medicine,,ENG30-14195112-n,hypovolemia; hypovolaemia,a blood disorder consisting of a decrease in the volume of circulating blood,-,ENG30-14189204-n,blood disease; blood disorder,a disease or disorder of the blood,-,,,,,,,,,,,
medicine,,ENG30-14195315-n,anemia; anaemia,a deficiency of red blood cells,-,ENG30-14189204-n,blood disease; blood disorder,a disease or disorder of the blood,-,,,,,,,,,,,
medicine,,ENG30-14195715-n,thalassemia; thalassaemia; Mediterranean anemia; Mediterranean anaemia,an inherited form of anemia caused by faulty synthesis of hemoglobin,-,ENG30-14074877-n,monogenic disorder; monogenic disease,an inherited disease controlled by a single pair of genes,-,,,,,,,,,,,
medicine,,ENG30-14195715-n,thalassemia; thalassaemia; Mediterranean anemia; Mediterranean anaemia,an inherited form of anemia caused by faulty synthesis of hemoglobin,-,ENG30-14165544-n,hypochromic anemia; hypochromic anaemia,anemia characterized by a decrease in the concentration of corpuscular hemoglobin,-,,,,,,,,,,,
medicine,,ENG30-14195939-n,-,a fatal form of homozygous thalassemia (inherited from both parents) in which there is no hemoglobin; skeletal deformations; heart and spleen and liver enlarged,-,ENG30-14195715-n,thalassemia; thalassaemia; Mediterranean anemia; Mediterranean anaemia,an inherited form of anemia caused by faulty synthesis of hemoglobin,-,,,,,,,,,,,
medicine,,ENG30-14196405-n,leukopenia; leucopenia,an abnormal lowering of the white blood cell count,-,ENG30-14189204-n,blood disease; blood disorder,a disease or disorder of the blood,-,,,,,,,,,,,
medicine,,ENG30-14196543-n,neutropenia,leukopenia in which the decrease is primarily in number of neutrophils (the chief phagocytic leukocyte),-,ENG30-14196405-n,leukopenia; leucopenia,an abnormal lowering of the white blood cell count,-,,,,,,,,,,,
medicine,,ENG30-14196722-n,cyclic neutropenia,neutropenia that occurs periodically,-,ENG30-14196543-n,neutropenia,leukopenia in which the decrease is primarily in number of neutrophils (the chief phagocytic leukocyte),-,,,,,,,,,,,
medicine,,ENG30-14197099-n,microcytosis,a blood disorder characterized by the presence of microcytes (abnormally small red blood cells) in the blood; often associated with anemia,-,ENG30-14189204-n,blood disease; blood disorder,a disease or disorder of the blood,-,,,,,,,,,,,
medicine,,ENG30-14197315-n,polycythemia,a disorder characterized by an abnormal increase in the number of red blood cells in the blood,-,ENG30-14189204-n,blood disease; blood disorder,a disease or disorder of the blood,-,,,,,,,,,,,
medicine,,ENG30-14197468-n,purpura; peliosis,any of several blood diseases causing subcutaneous bleeding,-,ENG30-14189204-n,blood disease; blood disorder,a disease or disorder of the blood,-,,,,,,,,,,,
medicine,,ENG30-14197780-n,essential thrombocytopenia,the primary form of thrombocytopenia (rather than a shortage of platelets caused by with other conditions such as tuberculosis or chemical suppression of bone marrow etc.),-,ENG30-14198019-n,thrombocytopenia; thrombopenia,a blood disease characterized by an abnormally small number of platelets in the blood,-,,,,,,,,,,,
medicine,,ENG30-14198019-n,thrombocytopenia; thrombopenia,a blood disease characterized by an abnormally small number of platelets in the blood,-,ENG30-14189204-n,blood disease; blood disorder,a disease or disorder of the blood,-,,,,,,,,,,,
medicine,,ENG30-14198576-n,avitaminosis; hypovitaminosis,any of several diseases caused by deficiency of one or more vitamins,-,ENG30-14199700-n,malnutrition,a state of poor nutrition; can result from insufficient or excessive or unbalanced diet or from inability to absorb foods,-,,,,,,,,,,,
medicine,,ENG30-14199264-n,beriberi,avitaminosis caused by lack of thiamine (vitamin B1),-,ENG30-14198576-n,avitaminosis; hypovitaminosis,any of several diseases caused by deficiency of one or more vitamins,-,,,,,,,,,,,
medicine,,ENG30-14200098-n,marasmus,extreme malnutrition and emaciation (especially in children); can result from inadequate intake of food or from malabsorption or metabolic disorders,-,ENG30-14199700-n,malnutrition,a state of poor nutrition; can result from insufficient or excessive or unbalanced diet or from inability to absorb foods,-,,,,,,,,,,,
medicine,,ENG30-14200704-n,zinc deficiency,a deficiency caused by inadequate zinc in the diet or by liver disease or cystic fibrosis or other diseases,-,ENG30-14198200-n,deficiency disease,any disease caused by a lack of an essential nutrient (as a vitamin or mineral),-,,,,,,,,,,,
medicine,,ENG30-14200873-n,-,a disease caused by deficiency of niacin or tryptophan (or by a defect in the metabolic conversion of tryptophan to niacin); characterized by gastrointestinal disturbances and erythema and nervous or mental disorders; may be caused by malnutrition or alcoholism or other nutritional impairments,-,ENG30-14198576-n,avitaminosis; hypovitaminosis,any of several diseases caused by deficiency of one or more vitamins,-,,,,,,,,,,,
medicine,,ENG30-14201311-n,rickets; rachitis,childhood disease caused by deficiency of vitamin D and sunlight associated with impaired metabolism of calcium and phosphorus,-,ENG30-14198576-n,avitaminosis; hypovitaminosis,any of several diseases caused by deficiency of one or more vitamins,-,,,,,,,,,,,
medicine,,ENG30-14201520-n,scurvy; scorbutus,a condition caused by deficiency of ascorbic acid (vitamin C),-,ENG30-14198576-n,avitaminosis; hypovitaminosis,any of several diseases caused by deficiency of one or more vitamins,-,,,,,,,,,,,
medicine,,ENG30-14201989-n,hemorrhagic cyst; blood cyst; hematocyst,a cyst containing blood,-,ENG30-14202996-n,cyst,a closed sac that develops abnormally in some body structure,-,,,,,,,,,,,
medicine,,ENG30-14202417-n,ovarian cyst,a cystic tumor (usually benign) of the ovary,-,ENG30-14202996-n,cyst,a closed sac that develops abnormally in some body structure,-,,,,,,,,,,,
medicine,,ENG30-14202520-n,chalazion; Meibomian cyst,a small sebaceous cyst of the eyelid resulting when a Meibomian gland is blocked,-,ENG30-14202763-n,sebaceous cyst; pilar cyst; wen; steatocystoma,a common cyst of the skin; filled with fatty matter (sebum) that is secreted by a sebaceous gland that has been blocked,-,,,,,,,,,,,
medicine,,ENG30-14202763-n,sebaceous cyst; pilar cyst; wen; steatocystoma,a common cyst of the skin; filled with fatty matter (sebum) that is secreted by a sebaceous gland that has been blocked,-,ENG30-14202996-n,cyst,a closed sac that develops abnormally in some body structure,-,,,,,,,,,,,
