domain,BCS,ID,literals,def,usage,hypernymID,hypernym_literals,hypernym_def,hypernym_usage,Prevod literala,Prevod def
medicine,,ENG30-00710550-n,autogenic therapy; autogenic training; autogenics,training patients in self-induced relaxation,-,ENG30-00658082-n,treatment,care by procedures or applications that are intended to relieve illness or injury,-,autogena terapija,obuka pacijenata za samostalnu relaksaciju
medicine,,ENG30-00226107-n,spasm,(pathology) sudden constriction of a hollow organ (as a blood vessel),-,ENG30-01149911-n,constriction,the action or process of compressing,-,spazam,iznenadna konstrikcija  šupljih organa (kao sto su krvni sudovi).
medicine,,ENG30-00226511-n,bronchospasm,a spasm of the bronchi that makes exhalation difficult and noisy; associated with asthma and bronchitis,-,ENG30-00226107-n,spasm,(pathology) sudden constriction of a hollow organ (as a blood vessel),-,bronhospazam,"Grč brohnija pri čemu je disanje veoma otežano, jedan od simptoma astme i bronhitisa."
medicine,,ENG30-00226711-n,cardiospasm,a spasm of the cardiac sphincter (between the esophagus and the stomach); if the cardiac sphincter does not relax during swallowing the passage of food into the stomach is obstructed,-,ENG30-00226107-n,spasm,(pathology) sudden constriction of a hollow organ (as a blood vessel),-,kardiospazam,Kardiospazam spada u grupu oboljenja jednjaka sa hipomotilitetom. Karakteriše se odsustvom peristaltike jednjaka i grčom u kardiji (početni deo želuca). Kao posledica dužeg trajanja ovakvog stanja nastupa dilatacija jednjaka iznad kardije.
medicine,,ENG30-00227264-n,strangulation,(pathology) constriction of a body part so as to cut off the flow of blood or other fluid,1 : strangulation of the intestine,ENG30-01149911-n,constriction,the action or process of compressing,-,strangulacija; gušenje; zagušenje; strangulatio,Konstrikcija dela tela čime je onemogućen protok krvi ili drugih telesnih tečnosti.
medicine,,ENG30-00230324-n,abortion,termination of pregnancy,-,ENG30-00209943-n,termination; ending; conclusion,the act of ending something,1 : the termination of the agreement,abortus; kiretaža; prekid trudnoće,prekid trudnoće
medicine,,ENG30-00230475-n,spontaneous abortion; miscarriage; stillbirth,a natural loss of the products of conception,-,ENG30-00230324-n,abortion,termination of pregnancy,-,mrtvorođenče; mrtvorođenost; pobačaj; spontani pobačaj,prirodni gubitak proizvoda začeća
medicine,,ENG30-02348927-v,hospitalize; hospitalise,admit into a hospital,1 : Mother had to be hospitalized because her blood pressure was too high,ENG30-02348568-v,commit; institutionalize; institutionalise; send; charge,cause to be admitted; of persons to an institution,"1 : he was committed to prison | 2 : After the second episode, she had to be committed",hospitalizovati,primiti u bolnicu
medicine,,ENG30-01766952-v,retire; withdraw,lose interest,1 : he retired from life when his wife died,ENG30-00076114-v,tire; pall; weary; fatigue; jade,get tired of something or somebody,-,penzionisati se; povući se,izgubiti zanimanje
medicine,,ENG30-02104600-a,irritable,abnormally sensitive to a stimulus,-,,-,-,-,iritabilan; razdražljiv,preterano osetljiv na nadražaje
medicine,,ENG30-01820481-a,positive; confirming,indicating existence or presence of a suspected condition or pathogen,1 : a positive pregnancy test,,-,-,-,potvrđujući; pozitivan,što ukazuje na postojanje ili prisustvo sumnjivog stanja ili patogena
medicine,,ENG30-03060971-a,diabetic,of or relating to or causing diabetes,-,,-,-,-,dijabetički,koji se odnosi ili koji izaziva dijabetes
medicine,,ENG30-03082745-a,malarial,of or infected by or resembling malaria,1 : malarial fever,,-,-,-,malaričan,"koji se odnosi na malariju, koji se tiče malarije"
medicine,,ENG30-03087579-a,mongoloid,of or relating to or suffering from Down Syndrome,1 : a mongoloid child,,-,-,-,mongoloidni,"koji se odnosi na mongolizam, Daunov sindrom"
medicine,,ENG30-02760116-a,medical,relating to the study or practice of medicine,1 : medical school | 2 : the medical profession | 3 : a medical student,,-,-,-,medicinski,odnosi se na proučavanje ili praksu medicine
medicine,,ENG30-02243255-a,verrucose; warty; wartlike,(of skin) covered with warts or projections that resemble warts,-,,-,-,-,bradavičav; bradavičast,"kada se govori o koži, koja je pokrivena bradavicama ili izraslinama koje podsečaju na bradavice"
medicine,,ENG30-02264657-a,fistular; fistulate; fistulous,like a reed or tube,-,,-,-,-,fistularan,"šupalj, u obliku kanala ili cevi."
medicine,,ENG30-02594714-a,malignant,dangerous to health; characterized by progressive and uncontrolled growth (especially of a tumor),-,,-,-,-,maligni; zloćudan; malignus,"koji je opasan po zdravlje, karakteriše ga stalna, patološka i autonomna proliferacija ćelija tumora. Maligni tumori rastu brzo, vrše razaranje okolnog tkiva i ukoliko se na vreme ne otkriju i ne leče, dovode do smrti."
medicine,,ENG30-03276839-n,electromyograph,a medical instrument that records the electrical waves associated with the activity of skeletal muscles,-,ENG30-03739693-n,medical instrument,instrument used in the practice of medicine,-,elektromiograf,medicinski uređaj koji beleži električni potencijal  mišića.
medicine,,ENG30-02885529-a,clinical,relating to a clinic or conducted in or as if in a clinic and depending on direct observation of patients,1 : clinical case study | 2 : clinical observation,,-,-,-,klinički,koji se odnosi na kliniku ili se sprovodi u klinici ili kao da se sprovodi u klinici i zavisi od direktnog posmatranja pacijenata
medicine,,ENG30-02612653-a,allergic,characterized by or caused by allergy,1 : an allergic reaction,,-,-,-,alergičan,koji je karakterističan ili uzrokovan alergijom
medicine,,ENG30-02888968-a,surgical,of or relating to or involving or used in surgery,1 : surgical intervention | 2 : surgical instruments,,-,-,-,hirurški,koji se odnosi ili koji se koristi u hirurgiji
medicine,,ENG30-02913004-a,psychiatric; psychiatrical,relating to or used in or engaged in the practice of psychiatry,1 : psychiatric hospital | 2 : psychiatric disorder,,-,-,-,psihijatrijski,koji se odnose na ili se koriste u psihijatrijskoj praksi
medicine,,ENG30-02914740-a,bacteriological; bacteriologic,of or relating to bacteriology,-,,-,-,-,bakteriološki; bakteriološko,od ili u vezi sa bakteriologijom
medicine,,ENG30-06043075-n,medicine; medical specialty,the branches of medical science that deal with nonsurgical techniques,-,ENG30-06045562-n,medical science,the science of dealing with the maintenance of health and the prevention and treatment of disease,-,medicinska specijalnost,grane medicinske nauke koje se bave nehirurškim tehnikama
medicine,,ENG30-06045562-n,medical science,the science of dealing with the maintenance of health and the prevention and treatment of disease,-,ENG30-06037298-n,life science; bioscience,any of the branches of natural science dealing with the structure and behavior of living organisms,-,medicina; medicinske nauke,"Nauka koja se bavi održvanjem zdravlja, prevencijom i lečenjem bolesti."
medicine,,ENG30-06053101-n,neuropsychiatry,the branch of medicine dealing with mental disorders attributable to diseases of the nervous system,-,ENG30-06043075-n,medicine; medical specialty,the branches of medical science that deal with nonsurgical techniques,-,neuropsihijatrija,grana medicine koja se bavi mentalnim poremećajima koji se mogu pripisati bolesti nervnog sisetma
medicine,,ENG30-06053439-n,obstetrics; OB; tocology; midwifery,the branch of medicine dealing with childbirth and care of the mother,-,ENG30-06043075-n,medicine; medical specialty,the branches of medical science that deal with nonsurgical techniques,-,opstetrika; opstetricija; OB; babištvo; primaljstvo,grana medicine koj se bavi rađanjem dece i brigom o majkama
medicine,,ENG30-06055946-n,psychiatry; psychopathology; psychological medicine,the branch of medicine dealing with the diagnosis and treatment of mental disorders,-,ENG30-06043075-n,medicine; medical specialty,the branches of medical science that deal with nonsurgical techniques,-,psihijatrija; psihopatologija,grana medicine koja se bavi dijagnostikovanjem i lečenjem mentalnih poremećaja
medicine,,ENG30-06060845-n,pathology,the branch of medical science that studies the causes and nature and effects of diseases,-,ENG30-06045562-n,medical science,the science of dealing with the maintenance of health and the prevention and treatment of disease,-,patologija,"grana medicine, koja proučava promene na bolesnim organima, način nastajanja tih promena i kako se te promjene odražavaju na čitav organizam."
medicine,,ENG30-06061631-n,pediatrics; paediatrics; pediatric medicine,the branch of medicine concerned with the treatment of infants and children,-,ENG30-06043075-n,medicine; medical specialty,the branches of medical science that deal with nonsurgical techniques,-,pedijatrija; pedijatrijska medicina,grana medicine koja se bavi lečenjem beba i dece
medicine,,ENG30-06063588-n,surgery,the branch of medical science that treats disease or injury by operative procedures,1 : he is professor of surgery at the Harvard Medical School,ENG30-06045562-n,medical science,the science of dealing with the maintenance of health and the prevention and treatment of disease,-,hirurgija,tgrana medicine koja leči bolest ili povredu oerativnom metodom
medicine,,ENG30-04625515-n,jactitation; jactation,(pathology) extremely restless tossing and twitching usually by a person with a severe illness,-,ENG30-04625284-n,restlessness; uneasiness,inability to rest or relax or be still,-,trzanje; bacanje,izuzetno jako bacanje i trzaji koji se javljaju kod teških bolesnika
medicine,,ENG30-05725378-n,temperature,the somatic sensation of cold or heat,-,ENG30-05721180-n,somesthesia; somaesthesia; somatesthesia; somatic sensation,the perception of tactual or proprioceptive or gut sensations,1 : he relied on somesthesia to warn him of pressure changes,temperatura,osećaj hladnoće ili toplote tela
medicine,,ENG30-05725676-n,cold; coldness,the sensation produced by low temperatures,1 : the cold helped clear his head | 2 : he shivered from the cold,ENG30-05725378-n,temperature,the somatic sensation of cold or heat,-,zima; hladnoća,osećaj koji stvaraju niske temperature
medicine,,ENG30-03643149-n,laryngoscope,a medical instrument for examining the larynx,-,ENG30-03739693-n,medical instrument,instrument used in the practice of medicine,-,laringoskop,medicinski instrument za ispitivanje larinksa
medicine,,ENG30-04006411-n,probe,a flexible slender surgical instrument used to explore wounds or body cavities,-,ENG30-04364545-n,surgical instrument,a medical instrument used in surgery,-,sonda,"fleksibilan, vitak hirurški instrument koji se koristi za istraživanje rana ili telesnih šupljina"
medicine,,ENG30-07944408-n,blind,people who have severe visual impairments,1 : he spent hours reading to the blind,ENG30-07942152-n,people,(plural) any group of human beings (men or women or children) collectively,1 : there were at least 200 people in the audience | 2 : old people,slep,osoba sa teškim oštećenjem vida
medicine,,ENG30-07945949-n,deaf,people who have severe hearing impairments,1 : many of the deaf use sign language,ENG30-07942152-n,people,(plural) any group of human beings (men or women or children) collectively,1 : there were at least 200 people in the audience | 2 : old people,gluvi,ljudi koji imaju teška oštećenja sluha
medicine,,ENG30-07946694-n,doomed; lost,people who are destined to die soon,1 : the agony of the doomed was in his voice,ENG30-07942152-n,people,(plural) any group of human beings (men or women or children) collectively,1 : there were at least 200 people in the audience | 2 : old people,osuđeni na propast; izgubljeni,ljudi predodređeni da uskoro umru
medicine,,ENG30-08054417-n,hospital,a medical institution where sick or injured people are given medical or surgical care,-,ENG30-08053905-n,medical institution,an institution created for the practice of medicine,-,bolnica; ambulanta; dom zdravlja; klinika,medicinska ustanova u kojoj se bolesnim ili povređenim osobama pruža medicinska ili hirurška nega
medicine,,ENG30-05400860-n,A; type A; group A,the blood group whose red cells carry the A antigen,-,ENG30-05400601-n,blood group; blood type,people whose blood (usually just the red blood cells) has the same antigens,-,krvna grupa A,krvna grupa čija crvena krvna zrnca nose A antigen.
medicine,,ENG30-05400978-n,B; type B; group B,the blood group whose red cells carry the B antigen,-,ENG30-05400601-n,blood group; blood type,people whose blood (usually just the red blood cells) has the same antigens,-,krvna grupa B,krvna grupa čija crvena krvna zrnca nose antigen B.
medicine,,ENG30-05401096-n,AB; type AB; group AB,the blood group whose red cells carry both the A and B antigens,-,ENG30-05400601-n,blood group; blood type,people whose blood (usually just the red blood cells) has the same antigens,-,krvna grupa AB,krvna grupa čija crvena krvna zrnca nose i antigen A i antigen B.
medicine,,ENG30-05401229-n,O; type O; group O,the blood group whose red cells carry neither the A nor B antigens,1 : people with type O blood are universal donors,ENG30-05400601-n,blood group; blood type,people whose blood (usually just the red blood cells) has the same antigens,-,krvna grupa O; nulta krvna grupa,krvna grupa čija crvena krvna zrnca ne nose ni antigen A ni antigen B.
medicine,,ENG30-07360647-n,infection; contagion; transmission,an incident in which an infectious disease is transmitted,-,ENG30-07307477-n,incident,a single distinct event,-,infekcija; prenos; zaraza; transfer; transmisija,incident u kojem se prenosi zarazna bolest
medicine,,ENG30-05517837-n,blister; bulla; bleb,(pathology) an elevation of the skin filled with serous fluid,-,ENG30-05517578-n,vesicle; cyst,a small anatomically normal sac or bladderlike structure (especially one containing fluid),-,plik,ispupčenje na koži ispunjeno tečnošću.
medicine,,ENG30-07445010-n,luxation,displacement or misalignment of a joint or organ,-,ENG30-07444668-n,shift; displacement,an event in which something is displaced without rotation,-,luksacija; iščašenje,iskakanje kostiju zgloba iz čašie
medicine,,ENG30-10679174-n,surgeon; operating surgeon; sawbones,a physician who specializes in surgery,-,ENG30-10020890-n,doctor; doc; physician; MD; Dr.; medico,a licensed medical practitioner,1 : I felt so bad I went to see my doctor,hirurg,Lekar koji je specijalizirao hirurgiju.
medicine,,ENG30-07538395-n,despondency; despondence; heartsickness; disconsolateness,feeling downcast and disheartened and hopeless,-,ENG30-07537485-n,depression,sad feelings of gloom and inadequacy,-,beznadežnost; neutešnost,osećanje nedostatka nade i utehe
medicine,,ENG30-07538674-n,oppression; oppressiveness,a feeling of being oppressed,-,ENG30-07537485-n,depression,sad feelings of gloom and inadequacy,-,potlačenost; ugnjetavanost,osećanje potlačenosti
medicine,,ENG30-07539367-n,dysphoria,abnormal depression and discontent,-,ENG30-07537485-n,depression,sad feelings of gloom and inadequacy,-,disforija,nenormalna depresija i nezadovoljstvo
medicine,,ENG30-07539367-n,dysphoria,abnormal depression and discontent,-,ENG30-07538965-n,discontentment; discontent; discontentedness,a longing for something better than the present situation,-,disforija,nenormalna depresija i nezadovoljstvo
medicine,,ENG30-09784306-n,allergist,a physician skilled in the diagnosis and treatment of allergies,-,ENG30-10020890-n,doctor; doc; physician; MD; Dr.; medico,a licensed medical practitioner,1 : I felt so bad I went to see my doctor,alergolog,Lekar koji je obučn za dijagnostikovanje i lečenje alergija.
